Entity Name,Version Added,Order Added,Creative Only,OP Only,Commands Only,Renewable
Bogged,1.21 Experimental 23w45a,142,FALSE,FALSE,FALSE,TRUE
Creeper,Classic 0.24 Survival Test,5,FALSE,FALSE,FALSE,TRUE
Spider,Classic 0.26 Survival Test,8,FALSE,FALSE,FALSE,TRUE
Cave Spider,Beta 1.8 Pre-Release,29,FALSE,FALSE,FALSE,TRUE
Enderman,Beta 1.8 Pre-Release,30,FALSE,FALSE,FALSE,TRUE
Shulker,1.9 15w21a,72,FALSE,FALSE,FALSE,TRUE
Endermite,1.8 14w11a,67,FALSE,FALSE,FALSE,TRUE
Silverfish,Beta 1.8 Pre-Release,31,FALSE,FALSE,FALSE,TRUE
Slime,Alpha v1.0.11,17,FALSE,FALSE,FALSE,TRUE
Breeze,1.21 Experimental 23w45a,143,FALSE,FALSE,FALSE,TRUE
Witch,1.4.2 12w38a,55,FALSE,FALSE,FALSE,TRUE
Illusioner,1.12 17w16a,92,TRUE,TRUE,TRUE,FALSE
Pillager,1.14 18w43a,103,FALSE,FALSE,FALSE,TRUE
Vindicator,1.11 16w39a,86,FALSE,FALSE,FALSE,TRUE
Evoker,1.11 16w39a,87,FALSE,FALSE,FALSE,TRUE
Vex,1.11 16w39a,88,FALSE,FALSE,FALSE,TRUE
Ravager,1.14 18w43a,104,FALSE,FALSE,FALSE,TRUE
Guardian,1.8 14w25a,68,FALSE,FALSE,FALSE,TRUE
Elder Guardian,1.8 14w25a,69,FALSE,FALSE,FALSE,FALSE
Phantom,1.13 18w07a,94,FALSE,FALSE,FALSE,TRUE
Warden,1.19 Experimental Snapshot 1,119,FALSE,FALSE,FALSE,TRUE
Strider,1.16 20w13a,111,FALSE,FALSE,FALSE,TRUE
Piglin,1.16 20w07a,110,FALSE,FALSE,FALSE,TRUE
Piglin Brute,1.16.2 20w27a,113,FALSE,FALSE,FALSE,FALSE
Zombified Piglin,Alpha v1.2.0 Preview,21,FALSE,FALSE,FALSE,TRUE
Hoglin,1.16 20w06a,109,FALSE,FALSE,FALSE,TRUE
Zoglin,1.16 20w14a,112,FALSE,FALSE,FALSE,TRUE
Ghast,Alpha v1.2.0 Preview,22,FALSE,FALSE,FALSE,TRUE
Magma Cube,1.0.0 Beta 1.9 Prerelease,36,FALSE,FALSE,FALSE,TRUE
Blaze,1.0.0 Beta 1.9 Prerelease,37,FALSE,FALSE,FALSE,TRUE
Wither Skeleton,1.4.2 12w36a,53,FALSE,FALSE,FALSE,TRUE
Wither,1.4.2 12w34a,50,FALSE,FALSE,FALSE,TRUE
Ender Dragon,1.0.0 Beta 1.9 Prerelease 4,40,FALSE,FALSE,FALSE,TRUE
Item,Classic 0.24 Survival Test,6,FALSE,FALSE,FALSE,TRUE
Experience Orb,Beta 1.8 Pre-Release,32,FALSE,FALSE,FALSE,TRUE
Oak Boat,Alpha v1.0.6,15,FALSE,FALSE,FALSE,TRUE
Birch Boat,1.9 15w41a,77,FALSE,FALSE,FALSE,TRUE
Spruce Boat,1.9 15w41a,78,FALSE,FALSE,FALSE,TRUE
Jungle Boat,1.9 15w41a,79,FALSE,FALSE,FALSE,TRUE
Dark Oak Boat,1.9 15w41a,80,FALSE,FALSE,FALSE,TRUE
Acacia Boat,1.9 15w41a,81,FALSE,FALSE,FALSE,TRUE
Mangrove Boat,1.19 22w11a,122,FALSE,FALSE,FALSE,TRUE
Cherry Boat,1.20 Experimental 23w07a,138,FALSE,FALSE,FALSE,TRUE
Bamboo Raft,1.20 Experimental 22w42a,132,FALSE,FALSE,FALSE,TRUE
Oak Boat With Chest,1.19 22w12a,123,FALSE,FALSE,FALSE,TRUE
Birch Boat With Chest,1.19 22w12a,124,FALSE,FALSE,FALSE,TRUE
Spruce Boat With Chest,1.19 22w12a,125,FALSE,FALSE,FALSE,TRUE
Jungle Boat With Chest,1.19 22w12a,126,FALSE,FALSE,FALSE,TRUE
Dark Oak Boat With Chest,1.19 22w12a,127,FALSE,FALSE,FALSE,TRUE
Acacia Boat With Chest,1.19 22w12a,128,FALSE,FALSE,FALSE,TRUE
Mangrove Boat With Chest,1.19 22w12a,129,FALSE,FALSE,FALSE,TRUE
Cherry Boat With Chest,1.20 Experimental 23w07a,139,FALSE,FALSE,FALSE,TRUE
Bamboo Raft With Chest,1.20 Experimental 22w42a,133,FALSE,FALSE,FALSE,TRUE
Minecart,Infdev 20100618,13,FALSE,FALSE,FALSE,TRUE
Minecart With Chest,Alpha v1.0.14,19,FALSE,FALSE,FALSE,TRUE
Minecart With Furnace,Alpha v1.0.14,20,FALSE,FALSE,FALSE,TRUE
Minecart With TNT,1.5 13w02a,57,FALSE,FALSE,FALSE,TRUE
Minecart With Hopper,1.5 13w03a,58,FALSE,FALSE,FALSE,TRUE
Minecart With Monster Spawner,1.5 13w06a,59,TRUE,TRUE,TRUE,FALSE
Minecart With Command Block,1.7.2 13w39a,66,TRUE,TRUE,FALSE,FALSE
Falling Block,1.0.0 Beta 1.9 Prerelease 6,43,FALSE,FALSE,FALSE,TRUE
Primed TNT,Classic 0.26 Survival Test,9,FALSE,FALSE,FALSE,TRUE
Painting,Indev 20100223,12,FALSE,FALSE,FALSE,TRUE
Item Frame,1.4.2 12w34a,51,FALSE,FALSE,FALSE,TRUE
Glow Item Frame,1.17 21w03a,116,FALSE,FALSE,FALSE,TRUE
Armor Stand,1.8 14w32a,71,FALSE,FALSE,FALSE,TRUE
Leash Knot,1.6.1 13w16a,65,FALSE,FALSE,FALSE,TRUE
End Crystal,1.0.0 Beta 1.9 Prerelease 6,44,FALSE,FALSE,FALSE,TRUE
Arrow,Classic 0.24 Survival Test,7,FALSE,FALSE,FALSE,TRUE
Spectral Arrow,1.9 15w31a,73,FALSE,FALSE,FALSE,TRUE
Trident,1.13 18w07a,95,FALSE,FALSE,FALSE,TRUE
Firework Rocket,1.4.6 12w49a,56,FALSE,FALSE,FALSE,TRUE
Fishing Bobber,Alpha v1.2.0,24,FALSE,FALSE,FALSE,TRUE
Bottle O' Enchanting,1.2.1 12w04a,47,FALSE,FALSE,FALSE,TRUE
Potion,1.0.0 Beta 1.9 Prerelease 4,41,FALSE,FALSE,FALSE,TRUE
Area Effect Cloud,1.9 15w33a,76,FALSE,FALSE,FALSE,TRUE
Ominous Item Spawner,1.21 Experimental 24w13a,146,FALSE,FALSE,FALSE,TRUE
Egg,Beta 1.0,25,FALSE,FALSE,FALSE,TRUE
Snowball,Alpha v1.0.5,14,FALSE,FALSE,FALSE,TRUE
Enderpearl,1.0.0 Beta 1.9 Prerelease 2,39,FALSE,FALSE,FALSE,TRUE
Eye Of Ender,1.0.0 Beta 1.9 Prerelease 4,42,FALSE,FALSE,FALSE,TRUE
Small Fireball,1.0.0 Beta 1.9 Prerelease,38,FALSE,FALSE,FALSE,TRUE
Fireball,Alpha v1.2.0 Preview,23,FALSE,FALSE,FALSE,TRUE
Dragon Fireball,1.9 15w31a,74,FALSE,FALSE,FALSE,TRUE
Wither Skull,1.4.2 12w34a,52,FALSE,FALSE,FALSE,TRUE
Shulker Bullet,1.9 15w31a,75,FALSE,FALSE,FALSE,TRUE
Wind Charge,1.21 Experimental 23w45a,144,FALSE,FALSE,FALSE,TRUE
Breeze Wind Charge,1.21 Experimental 24w06a,145,FALSE,FALSE,FALSE,TRUE
Llama Spit,1.11 16w39a,89,FALSE,FALSE,FALSE,TRUE
Evoker Fangs,1.11 16w39a,90,FALSE,FALSE,FALSE,TRUE
Lightning Bolt,Beta 1.5,28,FALSE,FALSE,FALSE,TRUE
Marker,1.17 21w15a,118,TRUE,TRUE,TRUE,FALSE
Block Display,1.19.4 23w06a,134,TRUE,TRUE,TRUE,FALSE
Item Display,1.19.4 23w06a,135,TRUE,TRUE,TRUE,FALSE
Text Display,1.19.4 23w06a,136,TRUE,TRUE,TRUE,FALSE
Interaction,1.19.4 23w07a,140,TRUE,TRUE,TRUE,FALSE
