,,,,,,,,,
Block,Block Name,Blast Resistance,Hardness,Mining Tool,Can Suffocate,Obeys Gravity,Flammable,Catches Fire From Lava,Can Change Block State
,Cracked Stone Bricks,6,1.5,Pickaxe,TRUE,FALSE,FALSE,FALSE,FALSE
,Infested Cracked Stone Bricks,0.75,0.75,Pickaxe,TRUE,FALSE,FALSE,FALSE,FALSE
,Chiseled Stone Bricks,6,1.5,Pickaxe,TRUE,FALSE,FALSE,FALSE,FALSE
,Infested Chiseled Stone Bricks,0.75,0.75,Pickaxe,TRUE,FALSE,FALSE,FALSE,FALSE
,Mossy Stone Bricks,6,1.5,Pickaxe,TRUE,FALSE,FALSE,FALSE,FALSE
,Mossy Stone Brick Slab,6,1.5,Pickaxe,TRUE,FALSE,FALSE,FALSE,TRUE
,Mossy Stone Brick Stair,6,1.5,Pickaxe,FALSE,FALSE,FALSE,FALSE,TRUE
,Mossy Stone Brick Wall,6,1.5,Pickaxe,FALSE,FALSE,FALSE,FALSE,TRUE
,Infested Mossy Stone Bricks,0.75,0.75,Pickaxe,TRUE,FALSE,FALSE,FALSE,FALSE
,Stone Pressure Plate,0.5,0.5,Pickaxe,FALSE,FALSE,FALSE,FALSE,TRUE
,Stone Button,0.5,0.5,Pickaxe,FALSE,FALSE,FALSE,FALSE,TRUE
,Deepslate,6,3,Pickaxe,TRUE,FALSE,FALSE,FALSE,TRUE
,Infested Deepslate,0.75,1.5,Pickaxe,TRUE,FALSE,FALSE,FALSE,TRUE
,Cobbled Deepslate,6,3.5,Pickaxe,TRUE,FALSE,FALSE,FALSE,FALSE
,Cobbled Deepslate Slab,6,3.5,Pickaxe,TRUE,FALSE,FALSE,FALSE,TRUE
,Cobbled Deepslate Stairs,6,3.5,Pickaxe,FALSE,FALSE,FALSE,FALSE,TRUE
,Cobbled Deepslate Wall,6,3.5,Pickaxe,FALSE,FALSE,FALSE,FALSE,TRUE
,Polished Deepslate,6,3.5,Pickaxe,TRUE,FALSE,FALSE,FALSE,FALSE
,Polished Deepslate Slab,6,3.5,Pickaxe,TRUE,FALSE,FALSE,FALSE,TRUE
,Polished Deepslate Stairs,6,3.5,Pickaxe,FALSE,FALSE,FALSE,FALSE,TRUE
,Polished Deepslate Wall,6,3.5,Pickaxe,FALSE,FALSE,FALSE,FALSE,TRUE
,Deepslate Bricks,6,3.5,Pickaxe,TRUE,FALSE,FALSE,FALSE,FALSE
,Deepslate Brick Slab,6,3.5,Pickaxe,TRUE,FALSE,FALSE,FALSE,TRUE
,Deepslate Brick Stairs,6,3.5,Pickaxe,FALSE,FALSE,FALSE,FALSE,TRUE
,Deepslate Brick Wall,6,3.5,Pickaxe,FALSE,FALSE,FALSE,FALSE,TRUE
,Cracked Deepslate Bricks,6,3.5,Pickaxe,TRUE,FALSE,FALSE,FALSE,FALSE
,Deepslate Tiles,6,3.5,Pickaxe,TRUE,FALSE,FALSE,FALSE,FALSE
,Deepslate Tile Slab,6,3.5,Pickaxe,TRUE,FALSE,FALSE,FALSE,TRUE
,Deepslate Tile Stairs,6,3.5,Pickaxe,FALSE,FALSE,FALSE,FALSE,TRUE
,Deepslate Tile Wall,6,3.5,Pickaxe,FALSE,FALSE,FALSE,FALSE,TRUE
,Cracked Deepslate Tiles,6,3.5,Pickaxe,TRUE,FALSE,FALSE,FALSE,FALSE
,Chiseled Deepslate,6,3.5,Pickaxe,TRUE,FALSE,FALSE,FALSE,FALSE
,Reinforced Deepslate,1200,55,Pickaxe,TRUE,FALSE,FALSE,FALSE,FALSE
,Diorite,6,1.5,Pickaxe,TRUE,FALSE,FALSE,FALSE,FALSE
,Diorite Slab,6,1.5,Pickaxe,TRUE,FALSE,FALSE,FALSE,TRUE
,Diorite Stairs,6,1.5,Pickaxe,FALSE,FALSE,FALSE,FALSE,TRUE
,Diorite Wall,6,1.5,Pickaxe,FALSE,FALSE,FALSE,FALSE,TRUE
,Polished Diorite,6,1.5,Pickaxe,TRUE,FALSE,FALSE,FALSE,FALSE
,Polished Diorite Slab,6,1.5,Pickaxe,TRUE,FALSE,FALSE,FALSE,TRUE
,Polished Diorite Stairs,6,1.5,Pickaxe,FALSE,FALSE,FALSE,FALSE,TRUE
,Andesite,6,1.5,Pickaxe,TRUE,FALSE,FALSE,FALSE,FALSE
,Andesite Slab,6,1.5,Pickaxe,TRUE,FALSE,FALSE,FALSE,TRUE
,Andesite Stairs,6,1.5,Pickaxe,FALSE,FALSE,FALSE,FALSE,TRUE
,Andesite Wall,6,1.5,Pickaxe,FALSE,FALSE,FALSE,FALSE,TRUE
,Polished Andesite,6,1.5,Pickaxe,TRUE,FALSE,FALSE,FALSE,FALSE
,Polished Andesite Slab,6,1.5,Pickaxe,TRUE,FALSE,FALSE,FALSE,TRUE
,Polished Andesite Stairs,6,1.5,Pickaxe,FALSE,FALSE,FALSE,FALSE,TRUE
,Granite,6,1.5,Pickaxe,TRUE,FALSE,FALSE,FALSE,FALSE
,Granite Slab,6,1.5,Pickaxe,TRUE,FALSE,FALSE,FALSE,TRUE
,Granite Stairs,6,1.5,Pickaxe,FALSE,FALSE,FALSE,FALSE,TRUE
,Granite Wall,6,1.5,Pickaxe,FALSE,FALSE,FALSE,FALSE,TRUE
,Polished Granite,6,1.5,Pickaxe,TRUE,FALSE,FALSE,FALSE,FALSE
,Polished Granite Slab,6,1.5,Pickaxe,TRUE,FALSE,FALSE,FALSE,TRUE
,Polished Granite Stairs,6,1.5,Pickaxe,FALSE,FALSE,FALSE,FALSE,TRUE
,Tuff,6,1.5,Pickaxe,TRUE,FALSE,FALSE,FALSE,FALSE
,Tuff Slab,6,1.5,Pickaxe,TRUE,FALSE,FALSE,FALSE,TRUE
,Tuff Stairs,6,1.5,Pickaxe,FALSE,FALSE,FALSE,FALSE,TRUE
,Tuff Wall,6,1.5,Pickaxe,FALSE,FALSE,FALSE,FALSE,TRUE
,Chiseled Tuff,6,1.5,Pickaxe,TRUE,FALSE,FALSE,FALSE,FALSE
,Polished Tuff,6,1.5,Pickaxe,TRUE,FALSE,FALSE,FALSE,FALSE
,Polished Tuff Slab,6,1.5,Pickaxe,TRUE,FALSE,FALSE,FALSE,TRUE
,Polished Tuff Stairs,6,1.5,Pickaxe,FALSE,FALSE,FALSE,FALSE,TRUE
,Polished Tuff Wall,6,1.5,Pickaxe,FALSE,FALSE,FALSE,FALSE,TRUE
,Tuff Bricks,6,1.5,Pickaxe,TRUE,FALSE,FALSE,FALSE,FALSE
,Tuff Brick Slab,6,1.5,Pickaxe,TRUE,FALSE,FALSE,FALSE,TRUE
,Tuff Brick Stairs,6,1.5,Pickaxe,FALSE,FALSE,FALSE,FALSE,TRUE
,Tuff Brick Wall,6,1.5,Pickaxe,FALSE,FALSE,FALSE,FALSE,TRUE
,Chiseled Tuff Bricks,6,1.5,Pickaxe,TRUE,FALSE,FALSE,FALSE,FALSE
,Calcite,0.75,0.75,Pickaxe,TRUE,FALSE,FALSE,FALSE,FALSE
,Dripstone Block,1,1.5,Pickaxe,TRUE,FALSE,FALSE,FALSE,FALSE
,Pointed Dripstone,3,1.5,Pickaxe,FALSE,TRUE,FALSE,FALSE,TRUE
,Dirt,0.5,0.5,Shovel,TRUE,FALSE,FALSE,FALSE,FALSE
,Grass,0.6,0.6,Shovel,TRUE,FALSE,FALSE,FALSE,TRUE
,Mycelium,0.6,0.6,Shovel,TRUE,FALSE,FALSE,FALSE,TRUE
,Podzol,0.5,0.5,Shovel,TRUE,FALSE,FALSE,FALSE,TRUE
,Coarse Dirt,0.5,0.5,Shovel,TRUE,FALSE,FALSE,FALSE,FALSE
,Rooted Dirt,0.5,0.5,Shovel,TRUE,FALSE,FALSE,FALSE,FALSE
,Dirt Path,0.65,0.65,Shovel,TRUE,FALSE,FALSE,FALSE,FALSE
,Farmland,0.6,0.6,Shovel,TRUE,FALSE,FALSE,FALSE,TRUE
,Oak Log,2,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Oak Wood,2,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Stripped Oak Log,2,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Stripped Oak Wood,2,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Oak Planks,3,2,Axe,TRUE,FALSE,TRUE,TRUE,FALSE
,Oak Slab,3,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Oak Stairs,3,2,Axe,FALSE,FALSE,TRUE,TRUE,TRUE
,Oak Fence,3,2,Axe,FALSE,FALSE,TRUE,TRUE,TRUE
,Oak Fence Gate,3,2,Axe,FALSE,FALSE,TRUE,TRUE,TRUE
,Oak Door,3,3,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Oak Trapdoor,3,3,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Oak Sign,1,1,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Oak Wall Sign,1,1,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Oak Hanging Sign,1,1,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Oak Wall Hanging Sign,1,1,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Oak Pressure Plate,0.5,0.5,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Oak Button,0.5,0.5,Axe,FALSE,FALSE,FALSE,FALSE,TRUE
,Birch Log,2,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Birch Wood,2,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Stripped Birch Log,2,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Stripped Birch Wood,2,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Birch Planks,3,2,Axe,TRUE,FALSE,TRUE,TRUE,FALSE
,Birch Slab,3,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Birch Stairs,3,2,Axe,FALSE,FALSE,TRUE,TRUE,TRUE
,Birch Fence,3,2,Axe,FALSE,FALSE,TRUE,TRUE,TRUE
,Birch Fence Gate,3,2,Axe,FALSE,FALSE,TRUE,TRUE,TRUE
,Birch Door,3,3,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Birch Trapdoor,3,3,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Birch Sign,1,1,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Birch Wall Sign,1,1,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Birch Hanging Sign,1,1,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Birch Wall Hanging Sign,1,1,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Birch Pressure Plate,0.5,0.5,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Birch Button,0.5,0.5,Axe,FALSE,FALSE,FALSE,FALSE,TRUE
,Spruce Log,2,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Spruce Wood,2,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Stripped Spruce Log,2,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Stripped Spruce Wood,2,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Spruce Planks,3,2,Axe,TRUE,FALSE,TRUE,TRUE,FALSE
,Spruce Slab,3,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Spruce Stairs,3,2,Axe,FALSE,FALSE,TRUE,TRUE,TRUE
,Spruce Fence,3,2,Axe,FALSE,FALSE,TRUE,TRUE,TRUE
,Spruce Fence Gate,3,2,Axe,FALSE,FALSE,TRUE,TRUE,TRUE
,Spruce Door,3,3,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Spruce Trapdoor,3,3,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Spruce Sign,1,1,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Spruce Wall Sign,1,1,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Spruce Hanging Sign,1,1,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Spruce Wall Hanging Sign,1,1,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Spruce Pressure Plate,0.5,0.5,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Spruce Button,0.5,0.5,Axe,FALSE,FALSE,FALSE,FALSE,TRUE
,Jungle Log,2,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Jungle Wood,2,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Stripped Jungle Log,2,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Stripped Jungle Wood,2,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Jungle Planks,3,2,Axe,TRUE,FALSE,TRUE,TRUE,FALSE
,Jungle Slab,3,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Jungle Stairs,3,2,Axe,FALSE,FALSE,TRUE,TRUE,TRUE
,Jungle Fence,3,2,Axe,FALSE,FALSE,TRUE,TRUE,TRUE
,Jungle Fence Gate,3,2,Axe,FALSE,FALSE,TRUE,TRUE,TRUE
,Jungle Door,3,3,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Jungle Trapdoor,3,3,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Jungle Sign,1,1,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Jungle Wall Sign,1,1,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Jungle Hanging Sign,1,1,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Jungle Wall Hanging Sign,1,1,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Jungle Pressure Plate,0.5,0.5,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Jungle Button,0.5,0.5,Axe,FALSE,FALSE,FALSE,FALSE,TRUE
,Dark Oak Log,2,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Dark Oak Wood,2,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Stripped Dark Oak Log,2,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Stripped Dark Oak Wood,2,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Dark Oak Planks,3,2,Axe,TRUE,FALSE,TRUE,TRUE,FALSE
,Dark Oak Slab,3,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Dark Oak Stairs,3,2,Axe,FALSE,FALSE,TRUE,TRUE,TRUE
,Dark Oak Fence,3,2,Axe,FALSE,FALSE,TRUE,TRUE,TRUE
,Dark Oak Fence Gate,3,2,Axe,FALSE,FALSE,TRUE,TRUE,TRUE
,Dark Oak Door,3,3,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Dark Oak Trapdoor,3,3,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Dark Oak Sign,1,1,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Dark Oak Wall Sign,1,1,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Dark Oak Hanging Sign,1,1,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Dark Oak Wall Hanging Sign,1,1,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Dark Oak Pressure Plate,0.5,0.5,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Dark Oak Button,0.5,0.5,Axe,FALSE,FALSE,FALSE,FALSE,TRUE
,Acacia Log,2,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Acacia Wood,2,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Stripped Acacia Log,2,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Stripped Acacia Wood,2,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Acacia Planks,3,2,Axe,TRUE,FALSE,TRUE,TRUE,FALSE
,Acacia Slab,3,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Acacia Stairs,3,2,Axe,FALSE,FALSE,TRUE,TRUE,TRUE
,Acacia Fence,3,2,Axe,FALSE,FALSE,TRUE,TRUE,TRUE
,Acacia Fence Gate,3,2,Axe,FALSE,FALSE,TRUE,TRUE,TRUE
,Acacia Door,3,3,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Acacia Trapdoor,3,3,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Acacia Sign,1,1,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Acacia Wall Sign,1,1,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Acacia Hanging Sign,1,1,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Acacia Wall Hanging Sign,1,1,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Acacia Pressure Plate,0.5,0.5,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Acacia Button,0.5,0.5,Axe,FALSE,FALSE,FALSE,FALSE,TRUE
,Mangrove Log,2,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Mangrove Wood,2,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Stripped Mangrove Log,2,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Stripped Mangrove Wood,2,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Mangrove Planks,3,2,Axe,TRUE,FALSE,TRUE,TRUE,FALSE
,Mangrove Slab,3,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Mangrove Stairs,3,2,Axe,FALSE,FALSE,TRUE,TRUE,TRUE
,Mangrove Fence,3,2,Axe,FALSE,FALSE,TRUE,TRUE,TRUE
,Mangrove Gate,3,2,Axe,FALSE,FALSE,TRUE,TRUE,TRUE
,Mangrove Door,3,3,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Mangrove Trapdoor,3,3,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Mangrove Sign,1,1,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Mangrove Wall Sign,1,1,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Mangrove Hanging Sign,1,1,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Mangrove Wall Hanging Sign,1,1,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Mangrove Pressure Plate,0.5,0.5,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Mangrove Button,0.5,0.5,Axe,FALSE,FALSE,FALSE,FALSE,TRUE
,Cherry Log,2,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Cherry Wood,2,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Stripped Cherry Log,2,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Stripped Cherry Wood,2,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Cherry Planks,3,2,Axe,TRUE,FALSE,TRUE,TRUE,FALSE
,Cherry Slab,3,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Cherry Stairs,3,2,Axe,FALSE,FALSE,TRUE,TRUE,TRUE
,Cherry Fence,3,2,Axe,FALSE,FALSE,TRUE,TRUE,TRUE
,Cherry Fence Gate,3,2,Axe,FALSE,FALSE,TRUE,TRUE,TRUE
,Cherry Door,3,3,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Cherry Trapdoor,3,3,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Cherry Sign,1,1,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Cherry Wall Sign,1,1,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Cherry Hanging Sign,1,1,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Cherry Wall Hanging Sign,1,1,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Cherry Pressure Plate,0.5,0.5,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Cherry Button,0.5,0.5,Axe,FALSE,FALSE,FALSE,FALSE,TRUE
,Block Of Bamboo,2,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Block Of Stripped Bamboo,2,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Bamboo Planks,3,2,Axe,TRUE,FALSE,TRUE,TRUE,FALSE
,Bamboo Slab,3,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Bamboo Stairs,3,2,Axe,FALSE,FALSE,TRUE,TRUE,TRUE
,Bamboo Fence,3,2,Axe,FALSE,FALSE,TRUE,TRUE,TRUE
,Bamboo Fence Gate,3,2,Axe,FALSE,FALSE,TRUE,TRUE,TRUE
,Bamboo Door,3,3,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Bamboo Trapdoor,3,3,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Bamboo Sign,1,1,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Bamboo Wall Sign,1,1,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Bamboo Hanging Sign,1,1,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Bamboo Wall Hanging Sign,1,1,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Bamboo Pressure Plate,0.5,0.5,Axe,FALSE,FALSE,FALSE,TRUE,TRUE
,Bamboo Button,0.5,0.5,Axe,FALSE,FALSE,FALSE,FALSE,TRUE
,Bamboo Mosaic,3,2,Axe,TRUE,FALSE,TRUE,TRUE,FALSE
,Bamboo Mosaic Slab,3,2,Axe,TRUE,FALSE,TRUE,TRUE,TRUE
,Bamboo Mosaic Stairs,3,2,Axe,FALSE,FALSE,TRUE,TRUE,TRUE
,Warped Stem,2,2,Axe,TRUE,FALSE,FALSE,FALSE,TRUE
,Warped Hyphae,2,2,Axe,TRUE,FALSE,FALSE,FALSE,TRUE
,Stripped Warped Stem,2,2,Axe,TRUE,FALSE,FALSE,FALSE,TRUE
,Stripped Warped Hyphae,2,2,Axe,TRUE,FALSE,FALSE,FALSE,TRUE
,Warped Planks,3,2,Axe,TRUE,FALSE,FALSE,FALSE,FALSE
,Warped Slab,3,2,Axe,TRUE,FALSE,FALSE,FALSE,TRUE
,Warped Stairs,3,2,Axe,FALSE,FALSE,FALSE,FALSE,TRUE
,Warped Fence,3,2,Axe,FALSE,FALSE,FALSE,FALSE,TRUE
,Warped Fence Gate,3,2,Axe,FALSE,FALSE,FALSE,FALSE,TRUE
,Warped Door,3,3,Axe,FALSE,FALSE,FALSE,FALSE,TRUE
,Warped Trapdoor,3,3,Axe,FALSE,FALSE,FALSE,FALSE,TRUE
,Warped Sign,1,1,Axe,FALSE,FALSE,FALSE,FALSE,TRUE
,Warped Wall Sign,1,1,Axe,FALSE,FALSE,FALSE,FALSE,TRUE
,Warped Hanging Sign,1,1,Axe,FALSE,FALSE,FALSE,FALSE,TRUE
,Warped Wall Hanging Sign,1,1,Axe,FALSE,FALSE,FALSE,FALSE,TRUE
,Warped Pressure Plate,0.5,0.5,Axe,FALSE,FALSE,FALSE,FALSE,TRUE
,Warped Button,0.5,0.5,Axe,FALSE,FALSE,FALSE,FALSE,TRUE
,Crimson Stem,2,2,Axe,TRUE,FALSE,FALSE,FALSE,TRUE
,Crimson Hyphae,2,2,Axe,TRUE,FALSE,FALSE,FALSE,TRUE
,Stripped Crimson Stem,2,2,Axe,TRUE,FALSE,FALSE,FALSE,TRUE
,Stripped Crimson Hyphae,2,2,Axe,TRUE,FALSE,FALSE,FALSE,TRUE
,Crimson Planks,3,2,Axe,TRUE,FALSE,FALSE,FALSE,FALSE
,Crimson Slab,3,2,Axe,TRUE,FALSE,FALSE,FALSE,TRUE
,Crimson Stairs,3,2,Axe,FALSE,FALSE,FALSE,FALSE,TRUE
,Crimson Fence,3,2,Axe,FALSE,FALSE,FALSE,FALSE,TRUE
,Crimson Fence Gate,3,2,Axe,FALSE,FALSE,FALSE,FALSE,TRUE
,Crimson Door,3,3,Axe,FALSE,FALSE,FALSE,FALSE,TRUE
,Crimson Trapdoor,3,3,Axe,FALSE,FALSE,FALSE,FALSE,TRUE
,Crimson Sign,1,1,Axe,FALSE,FALSE,FALSE,FALSE,TRUE
,Crimson Wall Sign,1,1,Axe,FALSE,FALSE,FALSE,FALSE,TRUE
,Crimson Hanging Sign,1,1,Axe,FALSE,FALSE,FALSE,FALSE,TRUE
,Crimson Wall Hanging Sign,1,1,Axe,FALSE,FALSE,FALSE,FALSE,TRUE
,Crimson Pressure Plate,0.5,0.5,Axe,FALSE,FALSE,FALSE,FALSE,TRUE
,Crimson Button,0.5,0.5,Axe,FALSE,FALSE,FALSE,FALSE,TRUE
,Petrified Oak Slab,6,2,Pickaxe,TRUE,FALSE,FALSE,FALSE,TRUE
,Gravel,0.6,0.6,Shovel,TRUE,TRUE,FALSE,FALSE,FALSE
,Suspicious Gravel,0.25,0.25,Shovel,TRUE,TRUE,FALSE,FALSE,TRUE
,Sand,0.5,0.5,Shovel,TRUE,TRUE,FALSE,FALSE,FALSE
,Suspicious Sand,0.25,0.25,Shovel,TRUE,TRUE,FALSE,FALSE,TRUE
,Sandstone,0.8,0.8,Pickaxe,TRUE,FALSE,FALSE,FALSE,FALSE
,Sandstone Slab,6,2,Pickaxe,TRUE,FALSE,FALSE,FALSE,TRUE
,Sandstone Stair,0.8,0.8,Pickaxe,FALSE,FALSE,FALSE,FALSE,TRUE
,Sandstone Wall,0.8,0.8,Pickaxe,FALSE,FALSE,FALSE,FALSE,TRUE
,Smooth Sandstone,6,2,Pickaxe,TRUE,FALSE,FALSE,FALSE,FALSE
