Block Name,Blast Resistance,Hardness,Mining Tool,Can Suffocate,Obeys Gravity,Flammable,Catches Fire From Lava,Can Change Block State,Keywords
Spruce Planks,3.0,2.0,Axe,True,False,True,True,False,"spruce, planks"
Spruce Slab,3.0,2.0,Axe,True,False,True,True,True,"slab, spruce"
Spruce Stairs,3.0,2.0,Axe,False,False,True,True,True,"spruce, stairs"
Spruce Fence,3.0,2.0,Axe,False,False,True,True,True,"spruce, fence"
Spruce Fence Gate,3.0,2.0,Axe,False,False,True,True,True,"spruce, fence, gate"
Spruce Door,3.0,3.0,Axe,False,False,False,True,True,"spruce, door"
Spruce Trapdoor,3.0,3.0,Axe,False,False,False,True,True,"spruce, trapdoor"
Spruce Sign,1.0,1.0,Axe,False,False,False,True,True,"sign, spruce"
Spruce Wall Sign,1.0,1.0,Axe,False,False,False,True,True,"wall, sign, spruce"
Spruce Hanging Sign,1.0,1.0,Axe,False,False,False,True,True,"hanging, spruce, sign"
Spruce Wall Hanging Sign,1.0,1.0,Axe,False,False,False,True,True,"wall, hanging, spruce, sign"
Spruce Pressure Plate,0.5,0.5,Axe,False,False,False,True,True,"pressure, spruce, plate"
Spruce Button,0.5,0.5,Axe,False,False,False,False,True,"spruce, button"
Jungle Log,2.0,2.0,Axe,True,False,True,True,True,"jungle, log"
Jungle Wood,2.0,2.0,Axe,True,False,True,True,True,"wood, block, brown, wooden, jungle"
Stripped Jungle Log,2.0,2.0,Axe,True,False,True,True,True,"stripped, log, jungle"
Stripped Jungle Wood,2.0,2.0,Axe,True,False,True,True,True,"stripped, wood, block, brown, wooden, jungle"
Jungle Planks,3.0,2.0,Axe,True,False,True,True,False,"jungle, planks"
Jungle Slab,3.0,2.0,Axe,True,False,True,True,True,"jungle, slab"
Jungle Stairs,3.0,2.0,Axe,False,False,True,True,True,"jungle, stairs"
Jungle Fence,3.0,2.0,Axe,False,False,True,True,True,"jungle, fence"
Jungle Fence Gate,3.0,2.0,Axe,False,False,True,True,True,"jungle, gate, fence"
Jungle Door,3.0,3.0,Axe,False,False,False,True,True,"jungle, door"
Jungle Trapdoor,3.0,3.0,Axe,False,False,False,True,True,"jungle, trapdoor"
Jungle Sign,1.0,1.0,Axe,False,False,False,True,True,"jungle, sign"
Jungle Wall Sign,1.0,1.0,Axe,False,False,False,True,True,"jungle, wall, sign"
Jungle Hanging Sign,1.0,1.0,Axe,False,False,False,True,True,"jungle, hanging, sign"
Jungle Wall Hanging Sign,1.0,1.0,Axe,False,False,False,True,True,"jungle, wall, hanging, sign"
Jungle Pressure Plate,0.5,0.5,Axe,False,False,False,True,True,"jungle, pressure, plate"
Jungle Button,0.5,0.5,Axe,False,False,False,False,True,"jungle, button"
Dark Oak Log,2.0,2.0,Axe,True,False,True,True,True,"log, oak, dark"
Dark Oak Wood,2.0,2.0,Axe,True,False,True,True,True,"wood, dark, block, brown, wooden, oak"
Stripped Dark Oak Log,2.0,2.0,Axe,True,False,True,True,True,"stripped, log, oak, dark"
Stripped Dark Oak Wood,2.0,2.0,Axe,True,False,True,True,True,"stripped, wood, dark, block, brown, oak, wooden"
Dark Oak Planks,3.0,2.0,Axe,True,False,True,True,False,"oak, planks, dark"
Dark Oak Slab,3.0,2.0,Axe,True,False,True,True,True,"slab, oak, dark"
Dark Oak Stairs,3.0,2.0,Axe,False,False,True,True,True,"stairs, oak, dark"
Dark Oak Fence,3.0,2.0,Axe,False,False,True,True,True,"fence, oak, dark"
Dark Oak Fence Gate,3.0,2.0,Axe,False,False,True,True,True,"gate, fence, oak, dark"
Dark Oak Door,3.0,3.0,Axe,False,False,False,True,True,"door, oak, dark"
Dark Oak Trapdoor,3.0,3.0,Axe,False,False,False,True,True,"oak, trapdoor, dark"
Dark Oak Sign,1.0,1.0,Axe,False,False,False,True,True,"sign, oak, dark"
Dark Oak Wall Sign,1.0,1.0,Axe,False,False,False,True,True,"wall, sign, oak, dark"
Dark Oak Hanging Sign,1.0,1.0,Axe,False,False,False,True,True,"hanging, oak, sign, dark"
Dark Oak Wall Hanging Sign,1.0,1.0,Axe,False,False,False,True,True,"hanging, dark, oak, sign, wall"
Dark Oak Pressure Plate,0.5,0.5,Axe,False,False,False,True,True,"pressure, plate, oak, dark"
Dark Oak Button,0.5,0.5,Axe,False,False,False,False,True,"button, oak, dark"
Acacia Log,2.0,2.0,Axe,True,False,True,True,True,"log, acacia"
Acacia Wood,2.0,2.0,Axe,True,False,True,True,True,"wood, block, brown, wooden, acacia"
Stripped Acacia Log,2.0,2.0,Axe,True,False,True,True,True,"stripped, log, acacia"
Stripped Acacia Wood,2.0,2.0,Axe,True,False,True,True,True,"stripped, wood, block, brown, wooden, acacia"
Acacia Planks,3.0,2.0,Axe,True,False,True,True,False,"planks, acacia"
Acacia Slab,3.0,2.0,Axe,True,False,True,True,True,"slab, acacia"
Acacia Stairs,3.0,2.0,Axe,False,False,True,True,True,"acacia, stairs"
Acacia Fence,3.0,2.0,Axe,False,False,True,True,True,"fence, acacia"
Acacia Fence Gate,3.0,2.0,Axe,False,False,True,True,True,"gate, fence, acacia"
Acacia Door,3.0,3.0,Axe,False,False,False,True,True,"door, acacia"
Acacia Trapdoor,3.0,3.0,Axe,False,False,False,True,True,"acacia, trapdoor"
Acacia Sign,1.0,1.0,Axe,False,False,False,True,True,"sign, acacia"
Acacia Wall Sign,1.0,1.0,Axe,False,False,False,True,True,"wall, sign, acacia"
Acacia Hanging Sign,1.0,1.0,Axe,False,False,False,True,True,"hanging, acacia, sign"
Acacia Wall Hanging Sign,1.0,1.0,Axe,False,False,False,True,True,"wall, hanging, acacia, sign"
Acacia Pressure Plate,0.5,0.5,Axe,False,False,False,True,True,"pressure, plate, acacia"
Acacia Button,0.5,0.5,Axe,False,False,False,False,True,"button, acacia"
Mangrove Log,2.0,2.0,Axe,True,False,True,True,True,"log, mangrove"
Mangrove Wood,2.0,2.0,Axe,True,False,True,True,True,"wood, block, brown, wooden, mangrove"
Stripped Mangrove Log,2.0,2.0,Axe,True,False,True,True,True,"stripped, log, mangrove"
Stripped Mangrove Wood,2.0,2.0,Axe,True,False,True,True,True,"stripped, wood, block, brown, wooden, mangrove"
Mangrove Planks,3.0,2.0,Axe,True,False,True,True,False,"planks, mangrove"
Mangrove Slab,3.0,2.0,Axe,True,False,True,True,True,"slab, mangrove"
Mangrove Stairs,3.0,2.0,Axe,False,False,True,True,True,"stairs, mangrove"
Mangrove Fence,3.0,2.0,Axe,False,False,True,True,True,"fence, mangrove"
Mangrove Gate,3.0,2.0,Axe,False,False,True,True,True,"gate, mangrove"
Mangrove Door,3.0,3.0,Axe,False,False,False,True,True,"door, mangrove"
Mangrove Trapdoor,3.0,3.0,Axe,False,False,False,True,True,"trapdoor, mangrove"
Mangrove Sign,1.0,1.0,Axe,False,False,False,True,True,"sign, mangrove"
Mangrove Wall Sign,1.0,1.0,Axe,False,False,False,True,True,"wall, sign, mangrove"
Mangrove Hanging Sign,1.0,1.0,Axe,False,False,False,True,True,"hanging, sign, mangrove"
Mangrove Wall Hanging Sign,1.0,1.0,Axe,False,False,False,True,True,"wall, hanging, sign, mangrove"
Mangrove Pressure Plate,0.5,0.5,Axe,False,False,False,True,True,"pressure, plate, mangrove"
Mangrove Button,0.5,0.5,Axe,False,False,False,False,True,"button, mangrove"
Cherry Log,2.0,2.0,Axe,True,False,True,True,True,"log, cherry"
Cherry Wood,2.0,2.0,Axe,True,False,True,True,True,"wood, block, brown, wooden, cherry"
Stripped Cherry Log,2.0,2.0,Axe,True,False,True,True,True,"stripped, log, cherry"
Stripped Cherry Wood,2.0,2.0,Axe,True,False,True,True,True,"stripped, wood, block, brown, wooden, cherry"
Cherry Planks,3.0,2.0,Axe,True,False,True,True,False,"planks, cherry"
Cherry Slab,3.0,2.0,Axe,True,False,True,True,True,"slab, cherry"
Cherry Stairs,3.0,2.0,Axe,False,False,True,True,True,"stairs, cherry"
Cherry Fence,3.0,2.0,Axe,False,False,True,True,True,"fence, cherry"
Cherry Fence Gate,3.0,2.0,Axe,False,False,True,True,True,"gate, fence, cherry"
Cherry Door,3.0,3.0,Axe,False,False,False,True,True,"door, cherry"
Cherry Trapdoor,3.0,3.0,Axe,False,False,False,True,True,"trapdoor, cherry"
Cherry Sign,1.0,1.0,Axe,False,False,False,True,True,"sign, cherry"
Cherry Wall Sign,1.0,1.0,Axe,False,False,False,True,True,"wall, sign, cherry"
Cherry Hanging Sign,1.0,1.0,Axe,False,False,False,True,True,"hanging, sign, cherry"
Cherry Wall Hanging Sign,1.0,1.0,Axe,False,False,False,True,True,"wall, hanging, sign, cherry"
Cherry Pressure Plate,0.5,0.5,Axe,False,False,False,True,True,"pressure, plate, cherry"
Cherry Button,0.5,0.5,Axe,False,False,False,False,True,"button, cherry"
Block Of Bamboo,2.0,2.0,Axe,True,False,True,True,True,"block, bamboo, of"
Block Of Stripped Bamboo,2.0,2.0,Axe,True,False,True,True,True,"stripped, block, bamboo, of"
Bamboo Planks,3.0,2.0,Axe,True,False,True,True,False,"bamboo, planks"
Bamboo Slab,3.0,2.0,Axe,True,False,True,True,True,"bamboo, slab"
Bamboo Stairs,3.0,2.0,Axe,False,False,True,True,True,"bamboo, stairs"
Bamboo Fence,3.0,2.0,Axe,False,False,True,True,True,"bamboo, fence"
Bamboo Fence Gate,3.0,2.0,Axe,False,False,True,True,True,"bamboo, gate, fence"
Bamboo Door,3.0,3.0,Axe,False,False,False,True,True,"bamboo, door"
Bamboo Trapdoor,3.0,3.0,Axe,False,False,False,True,True,"bamboo, trapdoor"
Bamboo Sign,1.0,1.0,Axe,False,False,False,True,True,"bamboo, sign"
Bamboo Wall Sign,1.0,1.0,Axe,False,False,False,True,True,"wall, bamboo, sign"
Bamboo Hanging Sign,1.0,1.0,Axe,False,False,False,True,True,"bamboo, hanging, sign"
Bamboo Wall Hanging Sign,1.0,1.0,Axe,False,False,False,True,True,"wall, bamboo, hanging, sign"
Bamboo Pressure Plate,0.5,0.5,Axe,False,False,False,True,True,"bamboo, pressure, plate"
Bamboo Button,0.5,0.5,Axe,False,False,False,False,True,"bamboo, button"
Bamboo Mosaic,3.0,2.0,Axe,True,False,True,True,False,"bamboo, mosaic"
Bamboo Mosaic Slab,3.0,2.0,Axe,True,False,True,True,True,"bamboo, slab, mosaic"
Bamboo Mosaic Stairs,3.0,2.0,Axe,False,False,True,True,True,"bamboo, mosaic, stairs"
Warped Stem,2.0,2.0,Axe,True,False,False,False,True,"stem, warped"
Warped Hyphae,2.0,2.0,Axe,True,False,False,False,True,"hyphae, warped"
Stripped Warped Stem,2.0,2.0,Axe,True,False,False,False,True,"stripped, stem, warped"
Stripped Warped Hyphae,2.0,2.0,Axe,True,False,False,False,True,"stripped, hyphae, warped"
Warped Planks,3.0,2.0,Axe,True,False,False,False,False,"planks, warped"
Warped Slab,3.0,2.0,Axe,True,False,False,False,True,"slab, warped"
Warped Stairs,3.0,2.0,Axe,False,False,False,False,True,"stairs, warped"
Warped Fence,3.0,2.0,Axe,False,False,False,False,True,"fence, warped"
Warped Fence Gate,3.0,2.0,Axe,False,False,False,False,True,"gate, fence, warped"
Warped Door,3.0,3.0,Axe,False,False,False,False,True,"door, warped"
Warped Trapdoor,3.0,3.0,Axe,False,False,False,False,True,"trapdoor, warped"
Warped Sign,1.0,1.0,Axe,False,False,False,False,True,"sign, warped"
Warped Wall Sign,1.0,1.0,Axe,False,False,False,False,True,"wall, sign, warped"
Warped Hanging Sign,1.0,1.0,Axe,False,False,False,False,True,"hanging, sign, warped"
Warped Wall Hanging Sign,1.0,1.0,Axe,False,False,False,False,True,"wall, hanging, sign, warped"
Warped Pressure Plate,0.5,0.5,Axe,False,False,False,False,True,"pressure, plate, warped"
Warped Button,0.5,0.5,Axe,False,False,False,False,True,"button, warped"
Crimson Stem,2.0,2.0,Axe,True,False,False,False,True,"stem, crimson"
Crimson Hyphae,2.0,2.0,Axe,True,False,False,False,True,"hyphae, crimson"
Stripped Crimson Stem,2.0,2.0,Axe,True,False,False,False,True,"stripped, stem, crimson"
Stripped Crimson Hyphae,2.0,2.0,Axe,True,False,False,False,True,"stripped, hyphae, crimson"
Crimson Planks,3.0,2.0,Axe,True,False,False,False,False,"crimson, planks"
Crimson Slab,3.0,2.0,Axe,True,False,False,False,True,"slab, crimson"
Crimson Stairs,3.0,2.0,Axe,False,False,False,False,True,"crimson, stairs"
Crimson Fence,3.0,2.0,Axe,False,False,False,False,True,"fence, crimson"
Crimson Fence Gate,3.0,2.0,Axe,False,False,False,False,True,"gate, fence, crimson"
Crimson Door,3.0,3.0,Axe,False,False,False,False,True,"door, crimson"
Crimson Trapdoor,3.0,3.0,Axe,False,False,False,False,True,"crimson, trapdoor"
Crimson Sign,1.0,1.0,Axe,False,False,False,False,True,"sign, crimson"
Crimson Wall Sign,1.0,1.0,Axe,False,False,False,False,True,"wall, sign, crimson"
Crimson Hanging Sign,1.0,1.0,Axe,False,False,False,False,True,"hanging, crimson, sign"
Crimson Wall Hanging Sign,1.0,1.0,Axe,False,False,False,False,True,"wall, hanging, crimson, sign"
Crimson Pressure Plate,0.5,0.5,Axe,False,False,False,False,True,"pressure, plate, crimson"
Crimson Button,0.5,0.5,Axe,False,False,False,False,True,"button, crimson"
Petrified Oak Slab,6.0,2.0,Pickaxe,True,False,False,False,True,"slab, oak, petrified"
Gravel,0.6,0.6,Shovel,True,True,False,False,False,gravel
Suspicious Gravel,0.25,0.25,Shovel,True,True,False,False,True,"suspicious, gravel"
Sand,0.5,0.5,Shovel,True,True,False,False,False,sand
Suspicious Sand,0.25,0.25,Shovel,True,True,False,False,True,"suspicious, sand"
Sandstone,0.8,0.8,Pickaxe,True,False,False,False,False,"solid, block, sandstone, rock, gray"
Sandstone Slab,6.0,2.0,Pickaxe,True,False,False,False,True,"slab, solid, block, sandstone, rock, gray"
Sandstone Stair,0.8,0.8,Pickaxe,False,False,False,False,True,"solid, block, sandstone, rock, stair, gray"
Sandstone Wall,0.8,0.8,Pickaxe,False,False,False,False,True,"solid, block, sandstone, rock, wall, gray"
Smooth Sandstone,6.0,2.0,Pickaxe,True,False,False,False,False,"solid, block, sandstone, smooth, rock, gray"
Smooth Sandstone Slab,6.0,2.0,Pickaxe,True,False,False,False,True,"slab, solid, block, sandstone, smooth, rock, gray"
Smooth Sandstone Stair,6.0,2.0,Pickaxe,False,False,False,False,True,"solid, block, sandstone, smooth, rock, stair, gray"
Cut Sandstone,0.8,0.8,Pickaxe,True,False,False,False,False,"cut, solid, block, sandstone, rock, gray"
Cut Sandstone Slab,6.0,2.0,Pickaxe,True,False,False,False,True,"cut, slab, solid, block, sandstone, rock, gray"
Chiseled Sandstone,0.8,0.8,Pickaxe,True,False,False,False,False,"chiseled, solid, block, sandstone, rock, gray"
Red Sand,0.5,0.5,Shovel,True,True,False,False,False,"sand, red"
Red Sandstone,0.8,0.8,Pickaxe,True,False,False,False,False,"red, solid, block, sandstone, rock, gray"
Red Sandstone Slab,6.0,2.0,Pickaxe,True,False,False,False,True,"slab, red, solid, block, sandstone, rock, gray"
Red Sandstone Stair,0.8,0.8,Pickaxe,False,False,False,False,True,"red, solid, block, sandstone, rock, stair, gray"
Red Sandstone Wall,0.8,0.8,Pickaxe,False,False,False,False,True,"red, solid, block, sandstone, rock, wall, gray"
Smooth Red Sandstone,6.0,2.0,Pickaxe,True,False,False,False,False,"red, solid, block, sandstone, smooth, rock, gray"
Smooth Red Sandstone Slab,6.0,2.0,Pickaxe,True,False,False,False,True,"slab, red, solid, block, sandstone, smooth, rock, gray"
