Item Properties_Item Name,Item Properties_Can Have Enchantments,Item Properties_Used In Crafting,Item Properties_Obtainable From Crafting,"Item Properties_Has A Unique ""Use"" Function",Can Be Cooked_Furnace,Can Be Cooked_Smoker/Campfire,Can Be Cooked_Blast Furnace,Rarity_Common,Rarity_Uncommon,Rarity_Rare,Rarity_Epic,Keywords
Spruce Stairs,True,False,False,True,False,False,False,True,True,False,False,"spruce, stairs"
Spruce Fence,True,False,False,True,False,False,False,True,True,False,False,"spruce, fence"
Spruce Fence Gate,True,False,False,True,False,False,False,True,True,False,False,"spruce, gate, fence"
Spruce Door,True,False,False,True,False,False,False,True,True,False,False,"spruce, door"
Spruce Trapdoor,True,False,False,True,False,False,False,True,True,False,False,"spruce, trapdoor"
Spruce Sign,True,False,False,True,False,False,False,True,True,False,False,"spruce, sign"
Spruce Hanging Sign,True,False,False,True,False,False,False,True,True,False,False,"spruce, hanging, sign"
Spruce Pressure Plate,True,False,False,True,False,False,False,True,True,False,False,"spruce, pressure, plate"
Spruce Button,True,False,False,True,False,False,False,True,True,False,False,"spruce, button"
Spruce Boat,True,False,True,True,False,False,False,True,True,False,False,"spruce, boat"
Spruce Boat With Chest,True,False,False,True,False,False,False,True,True,False,False,"spruce, boat, chest, with"
Jungle Log,True,False,True,False,True,False,False,True,True,False,False,"jungle, log"
Jungle Wood,True,False,True,True,True,False,False,True,True,False,False,"jungle, brown, wooden, wood"
Stripped Jungle Log,True,False,True,False,True,False,False,True,True,False,False,"jungle, log, stripped"
Stripped Jungle Wood,True,False,True,True,True,False,False,True,True,False,False,"brown, stripped, wooden, jungle, wood"
Jungle Planks,True,False,True,True,False,False,False,True,True,False,False,"jungle, planks"
Jungle Slab,True,False,True,True,False,False,False,True,True,False,False,"jungle, slab"
Jungle Stairs,True,False,False,True,False,False,False,True,True,False,False,"jungle, stairs"
Jungle Fence,True,False,False,True,False,False,False,True,True,False,False,"jungle, fence"
Jungle Fence Gate,True,False,False,True,False,False,False,True,True,False,False,"jungle, gate, fence"
Jungle Door,True,False,False,True,False,False,False,True,True,False,False,"jungle, door"
Jungle Trapdoor,True,False,False,True,False,False,False,True,True,False,False,"jungle, trapdoor"
Jungle Sign,True,False,False,True,False,False,False,True,True,False,False,"jungle, sign"
Jungle Hanging Sign,True,False,False,True,False,False,False,True,True,False,False,"jungle, hanging, sign"
Jungle Pressure Plate,True,False,False,True,False,False,False,True,True,False,False,"jungle, pressure, plate"
Jungle Button,True,False,False,True,False,False,False,True,True,False,False,"jungle, button"
Jungle Boat,True,False,True,True,False,False,False,True,True,False,False,"jungle, boat"
Jungle Boat With Chest,True,False,False,True,False,False,False,True,True,False,False,"jungle, boat, chest, with"
Dark Oak Log,True,False,True,False,True,False,False,True,True,False,False,"log, dark, oak"
Dark Oak Wood,True,False,True,True,True,False,False,True,True,False,False,"brown, wooden, oak, dark, wood"
Stripped Dark Oak Log,True,False,True,False,True,False,False,True,True,False,False,"log, dark, oak, stripped"
Stripped Dark Oak Wood,True,False,True,True,True,False,False,True,True,False,False,"brown, stripped, wooden, oak, dark, wood"
Dark Oak Planks,True,False,True,True,False,False,False,True,True,False,False,"planks, dark, oak"
Dark Oak Slab,True,False,True,True,False,False,False,True,True,False,False,"slab, dark, oak"
Dark Oak Stairs,True,False,False,True,False,False,False,True,True,False,False,"stairs, dark, oak"
Dark Oak Fence,True,False,False,True,False,False,False,True,True,False,False,"fence, dark, oak"
Dark Oak Fence Gate,True,False,False,True,False,False,False,True,True,False,False,"fence, gate, dark, oak"
Dark Oak Door,True,False,False,True,False,False,False,True,True,False,False,"dark, oak, door"
Dark Oak Trapdoor,True,False,False,True,False,False,False,True,True,False,False,"trapdoor, dark, oak"
Dark Oak Sign,True,False,False,True,False,False,False,True,True,False,False,"dark, oak, sign"
Dark Oak Hanging Sign,True,False,False,True,False,False,False,True,True,False,False,"hanging, dark, oak, sign"
Dark Oak Pressure Plate,True,False,False,True,False,False,False,True,True,False,False,"plate, pressure, dark, oak"
Dark Oak Button,True,False,False,True,False,False,False,True,True,False,False,"button, dark, oak"
Dark Oak Boat,True,False,True,True,False,False,False,True,True,False,False,"boat, dark, oak"
Dark Oak Boat With Chest,True,False,False,True,False,False,False,True,True,False,False,"chest, with, boat, oak, dark"
Acacia Log,True,False,True,False,True,False,False,True,True,False,False,"acacia, log"
Acacia Wood,True,False,True,True,True,False,False,True,True,False,False,"acacia, brown, wooden, wood"
Stripped Acacia Log,True,False,True,False,True,False,False,True,True,False,False,"acacia, log, stripped"
Stripped Acacia Wood,True,False,True,True,True,False,False,True,True,False,False,"brown, stripped, acacia, wooden, wood"
Acacia Planks,True,False,True,True,False,False,False,True,True,False,False,"acacia, planks"
Acacia Slab,True,False,True,True,False,False,False,True,True,False,False,"acacia, slab"
Acacia Stairs,True,False,False,True,False,False,False,True,True,False,False,"acacia, stairs"
Acacia Fence,True,False,False,True,False,False,False,True,True,False,False,"acacia, fence"
Acacia Fence Gate,True,False,False,True,False,False,False,True,True,False,False,"acacia, gate, fence"
Acacia Door,True,False,False,True,False,False,False,True,True,False,False,"acacia, door"
Acacia Trapdoor,True,False,False,True,False,False,False,True,True,False,False,"acacia, trapdoor"
Acacia Sign,True,False,False,True,False,False,False,True,True,False,False,"acacia, sign"
Acacia Hanging Sign,True,False,False,True,False,False,False,True,True,False,False,"acacia, hanging, sign"
Acacia Pressure Plate,True,False,False,True,False,False,False,True,True,False,False,"acacia, pressure, plate"
Acacia Button,True,False,False,True,False,False,False,True,True,False,False,"acacia, button"
Acacia Boat,True,False,True,True,False,False,False,True,True,False,False,"acacia, boat"
Acacia Boat With Chest,True,False,False,True,False,False,False,True,True,False,False,"acacia, boat, chest, with"
Mangrove Log,True,False,True,False,True,False,False,True,True,False,False,"mangrove, log"
Mangrove Wood,True,False,True,True,True,False,False,True,True,False,False,"mangrove, brown, wooden, wood"
Stripped Mangrove Log,True,False,True,False,True,False,False,True,True,False,False,"mangrove, log, stripped"
Stripped Mangrove Wood,True,False,True,True,True,False,False,True,True,False,False,"brown, stripped, wooden, mangrove, wood"
Mangrove Planks,True,False,True,True,False,False,False,True,True,False,False,"mangrove, planks"
Mangrove Slab,True,False,True,True,False,False,False,True,True,False,False,"mangrove, slab"
Mangrove Stairs,True,False,False,True,False,False,False,True,True,False,False,"mangrove, stairs"
Mangrove Fence,True,False,False,True,False,False,False,True,True,False,False,"mangrove, fence"
Mangrove Gate,True,False,False,True,False,False,False,True,True,False,False,"mangrove, gate"
Mangrove Door,True,False,False,True,False,False,False,True,True,False,False,"mangrove, door"
Mangrove Trapdoor,True,False,False,True,False,False,False,True,True,False,False,"mangrove, trapdoor"
Mangrove Sign,True,False,False,True,False,False,False,True,True,False,False,"mangrove, sign"
Mangrove Hanging Sign,True,False,False,True,False,False,False,True,True,False,False,"mangrove, hanging, sign"
Mangrove Pressure Plate,True,False,False,True,False,False,False,True,True,False,False,"mangrove, pressure, plate"
Mangrove Button,True,False,False,True,False,False,False,True,True,False,False,"mangrove, button"
Mangrove Boat,True,False,True,True,False,False,False,True,True,False,False,"mangrove, boat"
Mangrove Boat With Chest,True,False,False,True,False,False,False,True,True,False,False,"mangrove, boat, chest, with"
Cherry Log,True,False,True,False,True,False,False,True,True,False,False,"log, cherry"
Cherry Wood,True,False,True,True,True,False,False,True,True,False,False,"brown, cherry, wooden, wood"
Stripped Cherry Log,True,False,True,False,True,False,False,True,True,False,False,"log, cherry, stripped"
Stripped Cherry Wood,True,False,True,True,True,False,False,True,True,False,False,"brown, stripped, wooden, cherry, wood"
Cherry Planks,True,False,True,True,False,False,False,True,True,False,False,"planks, cherry"
Cherry Slab,True,False,True,True,False,False,False,True,True,False,False,"slab, cherry"
Cherry Stairs,True,False,False,True,False,False,False,True,True,False,False,"cherry, stairs"
Cherry Fence,True,False,False,True,False,False,False,True,True,False,False,"cherry, fence"
Cherry Fence Gate,True,False,False,True,False,False,False,True,True,False,False,"gate, cherry, fence"
Cherry Door,True,False,False,True,False,False,False,True,True,False,False,"cherry, door"
Cherry Trapdoor,True,False,False,True,False,False,False,True,True,False,False,"cherry, trapdoor"
Cherry Sign,True,False,False,True,False,False,False,True,True,False,False,"cherry, sign"
Cherry Hanging Sign,True,False,False,True,False,False,False,True,True,False,False,"hanging, cherry, sign"
Cherry Pressure Plate,True,False,False,True,False,False,False,True,True,False,False,"cherry, pressure, plate"
Cherry Button,True,False,False,True,False,False,False,True,True,False,False,"cherry, button"
Cherry Boat,True,False,True,True,False,False,False,True,True,False,False,"boat, cherry"
Cherry Boat With Chest,True,False,False,True,False,False,False,True,True,False,False,"boat, cherry, chest, with"
Block Of Bamboo,False,False,True,True,False,False,False,True,True,False,False,"of, bamboo, block"
Block Of Stripped Bamboo,True,False,True,True,False,False,False,True,True,False,False,"of, bamboo, block, stripped"
Bamboo Planks,False,False,True,True,False,False,False,True,True,False,False,"planks, bamboo"
Bamboo Slab,False,False,True,True,False,False,False,True,True,False,False,"slab, bamboo"
Bamboo Stairs,False,False,False,True,False,False,False,True,True,False,False,"bamboo, stairs"
Bamboo Fence,False,False,False,True,False,False,False,True,True,False,False,"bamboo, fence"
Bamboo Fence Gate,False,False,False,True,False,False,False,True,True,False,False,"gate, bamboo, fence"
Bamboo Door,False,False,False,True,False,False,False,True,True,False,False,"bamboo, door"
Bamboo Trapdoor,False,False,False,True,False,False,False,True,True,False,False,"bamboo, trapdoor"
Bamboo Sign,False,False,False,True,False,False,False,True,True,False,False,"bamboo, sign"
Bamboo  Hanging Sign,False,False,False,True,False,False,False,True,True,False,False,"hanging, bamboo, sign"
Bamboo Pressure Plate,False,False,False,True,False,False,False,True,True,False,False,"bamboo, pressure, plate"
Bamboo Button,False,False,False,True,False,False,False,True,True,False,False,"bamboo, button"
Bamboo Raft,False,False,True,True,False,False,False,True,True,False,False,"bamboo, raft"
Bamboo Raft With Chest,False,False,False,True,False,False,False,True,True,False,False,"with, bamboo, chest, raft"
Bamboo Mosaic,False,False,True,True,False,False,False,True,True,False,False,"bamboo, mosaic"
Bamboo Mosaic Slab,False,False,False,True,False,False,False,True,True,False,False,"slab, bamboo, mosaic"
Bamboo Mosaic Stairs,False,False,False,True,False,False,False,True,True,False,False,"bamboo, stairs, mosaic"
Warped Stem,False,False,True,False,False,False,False,True,True,False,False,"stem, warped"
Warped Hyphae,False,False,True,True,False,False,False,True,True,False,False,"hyphae, warped"
Stripped Warped Stem,True,False,True,False,False,False,False,True,True,False,False,"stem, stripped, warped"
Stripped Warped Hyphae,True,False,True,True,False,False,False,True,True,False,False,"hyphae, stripped, warped"
Warped Planks,False,False,True,True,False,False,False,True,True,False,False,"planks, warped"
Warped Slab,False,False,True,True,False,False,False,True,True,False,False,"slab, warped"
Warped Stairs,False,False,False,True,False,False,False,True,True,False,False,"stairs, warped"
Warped Fence,False,False,False,True,False,False,False,True,True,False,False,"fence, warped"
Warped Fence Gate,False,False,False,True,False,False,False,True,True,False,False,"gate, fence, warped"
Warped Door,False,False,False,True,False,False,False,True,True,False,False,"door, warped"
Warped Trapdoor,False,False,False,True,False,False,False,True,True,False,False,"trapdoor, warped"
Warped Sign,False,False,False,True,False,False,False,True,True,False,False,"sign, warped"
Warped Hanging Sign,False,False,False,True,False,False,False,True,True,False,False,"hanging, sign, warped"
Warped Pressure Plate,False,False,False,True,False,False,False,True,True,False,False,"pressure, plate, warped"
Warped Button,False,False,False,True,False,False,False,True,True,False,False,"button, warped"
Crimson Stem,False,False,True,False,False,False,False,True,True,False,False,"crimson, stem"
Crimson Hyphae,False,False,True,True,False,False,False,True,True,False,False,"crimson, hyphae"
Stripped Crimson Stem,True,False,True,False,False,False,False,True,True,False,False,"crimson, stem, stripped"
Stripped Crimson Hyphae,True,False,True,True,False,False,False,True,True,False,False,"crimson, stripped, hyphae"
Crimson Planks,False,False,True,True,False,False,False,True,True,False,False,"crimson, planks"
Crimson Slab,False,False,True,True,False,False,False,True,True,False,False,"crimson, slab"
Crimson Stairs,False,False,False,True,False,False,False,True,True,False,False,"crimson, stairs"
Crimson Fence,False,False,False,True,False,False,False,True,True,False,False,"crimson, fence"
Crimson Fence Gate,False,False,False,True,False,False,False,True,True,False,False,"crimson, fence, gate"
Crimson Door,False,False,False,True,False,False,False,True,True,False,False,"crimson, door"
Crimson Trapdoor,False,False,False,True,False,False,False,True,True,False,False,"crimson, trapdoor"
Crimson Sign,False,False,False,True,False,False,False,True,True,False,False,"crimson, sign"
Crimson Hanging Sign,False,False,False,True,False,False,False,True,True,False,False,"hanging, crimson, sign"
Crimson Pressure Plate,False,False,False,True,False,False,False,True,True,False,False,"crimson, pressure, plate"
Crimson Button,False,False,False,True,False,False,False,True,True,False,False,"crimson, button"
Petrified Oak Slab,False,False,False,False,False,False,False,True,True,False,False,"slab, petrified, oak"
Gravel,False,False,True,False,False,False,False,True,True,False,False,gravel
Suspicious Gravel,False,False,False,False,False,False,False,True,True,False,False,"suspicious, gravel"
Flint,True,False,True,False,False,False,False,False,True,False,False,flint
Sand,False,False,True,False,True,False,False,True,True,False,False,"yellow, block, beige, sand"
Suspicious Sand,False,False,False,False,False,False,False,True,True,False,False,"yellow, suspicious, sand, beige, block"
Sandstone,False,False,True,True,True,False,False,True,True,False,False,"sandstone, gray, rock, solid"
Sandstone Slab,False,False,True,True,False,False,False,True,True,False,False,"slab, sandstone, gray, rock, solid"
Sandstone Stairs,False,False,False,True,False,False,False,True,True,False,False,"sandstone, gray, rock, stairs, solid"
Sandstone Wall,False,False,False,True,False,False,False,True,True,False,False,"sandstone, gray, rock, solid, wall"
Smooth Sandstone,False,False,True,False,False,False,False,True,True,False,False,"smooth, sandstone, gray, rock, solid"
Smooth Sandstone Slab,False,False,False,True,False,False,False,True,True,False,False,"smooth, slab, sandstone, gray, rock, solid"
Smooth Sandstone Stairs,False,False,False,True,False,False,False,True,True,False,False,"smooth, sandstone, gray, rock, stairs, solid"
Cut Sandstone,False,False,True,True,False,False,False,True,True,False,False,"sandstone, gray, rock, solid, cut"
Cut Sandstone Slab,False,False,False,True,False,False,False,True,True,False,False,"slab, sandstone, gray, rock, solid, cut"
Chiseled Sandstone,False,False,True,True,False,False,False,True,True,False,False,"chiseled, sandstone, gray, rock, solid"
Red Sand,False,False,True,False,True,False,False,True,True,False,False,"yellow, sand, beige, red, block"
Red Sandstone,False,False,True,True,True,False,False,True,True,False,False,"sandstone, gray, rock, solid, red"
Red Sandstone Slab,False,False,False,True,False,False,False,True,True,False,False,"slab, sandstone, gray, rock, solid, red"
Red Sandstone Stairs,False,False,False,True,False,False,False,True,True,False,False,"sandstone, gray, rock, stairs, solid, red"
Red Sandstone Wall,False,False,False,True,False,False,False,True,True,False,False,"sandstone, gray, rock, solid, red, wall"
Smooth Red Sandstone,False,False,True,False,False,False,False,True,True,False,False,"smooth, sandstone, gray, rock, solid, red"
Smooth Red Sandstone Slab,False,False,False,True,False,False,False,True,True,False,False,"smooth, slab, sandstone, gray, rock, solid, red"
